Round Slug	Puzzle ID	Puzzle Round Order	JUICE Required	Meta	Feeder Tag (Name of associated meta group)	Feeder Unlock (Number of puzzles needed to unlock)	Level	Required Puzzle	Unlock Time (Unix Timestamp)	Autosolve	Autohints
yew-labs	442	20	X		intro-meta	0					2
yew-labs	351	70	X		intro-meta	0					2
yew-labs	50	60	X		intro-meta	0					2
yew-labs	441	50	X		intro-meta	0					2
yew-labs	407	10	X		intro-meta	1			T+2		2
yew-labs	111	110	X		intro-meta	2			T+2.5		2
yew-labs	476	100	X		intro-meta	3			T+3		2
yew-labs	489	40	X		intro-meta	3			T+3.5		2
yew-labs	463	90	X		intro-meta	4			T+4		2
yew-labs	71	130	X		intro-meta	4			T+4.5		2
yew-labs	622	30	X		intro-meta	5			T+5		2
yew-labs	444	120	X		intro-meta	6			T+5.5		2
yew-labs	594	80	X		intro-meta	7			T+6		2
yew-labs	288	1000	X	1	intro-meta	10			T+7		2

green-building	591	70	0		green-meta	X					0
green-building	28	130	0		green-meta	X
green-building	320	20	0		green-meta	X
green-building	555	60	100		green-meta	X
green-building	465	110	100		green-meta	X
green-building	128	120	220		green-meta	X					0
green-building	107	100	220		green-meta	X
green-building	271	90	430		green-meta	X
green-building	289	10	430		green-meta	X
green-building	159	40	660		green-meta	X
green-building	170	80	660		green-meta	X
green-building	521	30	800		green-meta	X
green-building	519	50	800		green-meta	X
green-building	204	1000	1100	1	green-meta	X

infinite-template	91	10	0		infinite-meta	X
infinite-template	179	20	0		infinite-meta	X
infinite-template	496	30	100		infinite-meta	X
infinite-template	281	40	210		infinite-meta	X
infinite-template	566	50	330		infinite-meta	X
infinite	272	0	450	1	infinite-meta	X

nano	459	1	0	1	nano-meta	X	0

nano	468	120	0		nano-meta	X	1
nano	338	130	0		nano-meta	X	1
nano	533	150	0		nano-meta	X	1
nano	157	110	110		nano-meta	X	1
nano	577	170	110		nano-meta	X	1				0
nano	21	180	330		nano-meta	X	1
nano	460	160	450		nano-meta	X	1
nano	409	140	450		nano-meta	X	1

nano	286	220	550		nano-meta	X	2
nano	427	230	850		nano-meta	X	2
nano	374	240	1050		nano-meta	X	2
nano	491	210	1050		nano-meta	X	2
nano	461	250	1200		nano-meta	X	2

nano	328	320	1300		nano-meta	X	3
nano	314	340	1550		nano-meta	X	3
nano	536	330	1550		nano-meta	X	3
nano	408	360	1800		nano-meta	X	3
nano	558	350	1800		nano-meta	X	3
nano	245	310	1800	1	nano-meta	X	3

stata	20	90	0		stata-meta	X
stata	316	130	0		stata-meta	X
stata	44	100	120		stata-meta	X
stata	79	70	120		stata-meta	X
stata	403	40	280		stata-meta	X
stata	452	120	280		stata-meta	X
stata	151	80	500		stata-meta	X
stata	206	20	500		stata-meta	X
stata	573	50	720		stata-meta	X
stata	389	110	720		stata-meta	X
stata	163	30	860		stata-meta	X
stata	372	60	860		stata-meta	X
stata	417	140	1070		stata-meta	X
stata	599	10	1070		stata-meta	X
stata	228	1000	1200	1	stata-meta	X

clusters	541	310	0		clusters	X
clusters	36	340	0		clusters	X
clusters	358	320	0		clusters	X
